科类,分数,本段人数,累计人数,source_url,year,fetched_at,raw_hash,parser_version,发布机构,公告页URL,源文件名
综合,671,77,807,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,670,83,890,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,669,85,975,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,668,79,1054,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,667,96,1150,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,666,112,1262,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,665,99,1361,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,664,124,1485,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,663,108,1593,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,662,127,1720,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,661,122,1842,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,660,123,1965,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,659,133,2098,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,658,138,2236,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,657,150,2386,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,656,154,2540,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,655,169,2709,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,654,175,2884,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,653,164,3048,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,652,171,3219,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,651,217,3436,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,650,185,3621,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,649,173,3794,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,648,211,4005,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,647,198,4203,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,646,236,4439,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,645,234,4673,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,644,233,4906,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,643,245,5151,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,642,250,5401,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,641,230,5631,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,640,270,5901,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,639,272,6173,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,638,273,6446,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,637,284,6730,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,636,281,7011,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,635,282,7293,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,634,335,7628,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,633,315,7943,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,632,316,8259,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,631,342,8601,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,630,420,9021,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,629,366,9387,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,628,364,9751,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,627,425,10176,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,626,447,10623,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,625,435,11058,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,624,388,11446,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,623,393,11839,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,622,449,12288,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
综合,621,465,12753,https://www.sdzk.cn/Floadup/file/20250625/6388646133710894671069456.xls,2025,2026-06-07,b04759698c8f6022628f2ee514c9181313f472fcb962b2d65dd62cc038fbbe0b,ingest-1.0,山东省教育招生考试院,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,
